opportunity_id,outlet,channel_type,buyer_fit,primary_rules_url,submission_or_secondary_rules_url,verified_rules,prerequisites_and_limits,specific_pitch_internal_draft,relevant_destination_reference_not_guaranteed_placement,prepared_asset,cost_or_access,rules_checked_date,status,owner_role,sent_date,published_url,next_action
D11,CMSWire,Customer-experience publication,Support and CX executives,https://www.cmswire.com/about-us/contributor-guidelines/,https://www.cmswire.com/about-us/contributor-guidelines/,Contributor application; preference for senior practitioners; original actionable CX guidance. Company/product promotion rejected; editorial controls links. Promotional placements use a separate sponsored program.,Named expert and firsthand method required; editorial proposal not product pitch. No sponsored spend or guaranteed backlink.,How to evaluate an AI answering workflow without mistaking a completed conversation for a resolved customer request: define destination-system evidence fallback ownership and a review rubric.,https://quickvoice.co/blog/ai-phone-answering-service-small-business,buyer-implementation-checklist.md,earned_editorial_application_only,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D12,CustomerThink,Customer-strategy publication,Customer service and operations leaders,https://customerthink.com/write-for-us/,https://customerthink.com/editorial-standards/,Author application with business email; original firsthand expertise. Actual post drafting must be human; AI may support research/ideation/editing. AI-drafted posts violate policy.,A real practitioner must originate and write the article. Current materials are internal ideas only; customer-result narrative requires approved evidence.,"A practitioner argument for separating answered-call rate from useful resolution in voice automation, with a firsthand evaluation method and documented examples once available.",https://quickvoice.co/blog/ai-voice-agents-reduce-customer-support-costs,customer-story-templates.md,editorial_application; human_authorship_required,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D13,Call Centre Helper,Contact-centre publication,Support managers and call-centre operators,https://www.callcentrehelper.com/call-centre-magazine-211.htm,https://www.callcentrehelper.com/call-centre-magazine-211.htm,Official about page invites article ideas and submissions to its newsdesk. Advertising and content-promotion packages have separate contacts. Detailed pitch-specific editorial requirements need editor confirmation.,Prepare an operator-focused idea; no paid package assumed. Accountable author and examples required; contact only when authorized.,"A practical checklist for measuring failed attempts human follow-up and quality-review effort in an AI-phone pilot, with an editable cost model that labels assumptions instead of promising savings.",https://quickvoice.co/blog/ai-voice-agents-reduce-customer-support-costs,cost-estimation.csv,earned_idea_pitch; requirements_to_confirm_with_editor,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D14,Reworked,Workplace and operations publication,Operations managers and digital-workplace leaders,https://www.reworked.co/submission-guidelines/,https://www.reworked.co/submission-guidelines/,Original actionable workplace guidance; usually800–1200 words; contributor application and editor review. No company/product/service promotion in editorial content.,Expert-led operational angle required; use a fresh article rather than a promotional repost. Links and publication remain editorial decisions.,Who owns an automated phone workflow after launch? A practical division of responsibility across operations engineering support and knowledge owners with a pilot handoff checklist.,https://quickvoice.co/blog/build-ai-voice-agent-small-business,buyer-implementation-checklist.md,earned_editorial_application_only,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D15,HubSpot Agency Blog,Agency/business resource publication,Agencies implementing workflows for clients,https://blog.hubspot.com/agency-post-guest-blogging-guidelines,https://blog.hubspot.com/agency-post-guest-blogging-guidelines,Original800–1500-word agency-relevant article with sourced data; no promotional or link-building content; check prior coverage; completed article and images requested. Editor decides acceptance.,Treat as an editorial proposal requiring original agency experience. Do not insert homepage/contact links or claim a native HubSpot integration. Recheck older posted instructions before contact.,How an agency can scope a phone-intake pilot: agree on outcome ownership estimate ongoing review cost and define handoff criteria before choosing a platform.,https://quickvoice.co/blog/ai-voice-agents-b2b-lead-qualification,buyer-implementation-checklist.md,earned_editorial; posted_guidelines_age_recheck,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D16,freeCodeCamp News,Technical education publication,Developers implementing business requirements,https://www.freecodecamp.org/news/how-to-write-for-freecodecamp/,https://www.freecodecamp.org/news/developer-news-style-guide/,Contributor application through publication/style guide; writing samples and editorial review; teach a technical topic. Acceptance is selective.,Human subject-matter author needs qualifying samples and current style-policy review. No product advertisement or fabricated firsthand lesson.,A tutorial on turning business call requirements into test cases: build a synthetic request fixture validate an external action and handle an unavailable service with a reproducible example.,https://github.com/allgpt-co/QuickVoice,walkthrough-script.md,editorial_application; samples_required,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D17,SourceForge,Open-source software directory/hosting,Teams discovering inspectable software,https://sourceforge.net/p/forge/documentation/Create%20a%20New%20Project/,https://sourceforge.net/p/forge/documentation/Create%20a%20New%20Project/,Open-source-definition-compatible license; account; project registration; new project admins may need phone verification. Metadata includes summary homepage support and project status.,Maintainer must agree to own this additional project presence and keep it current. No mirror or release upload prepared; do not create an abandoned listing.,QuickVoice is an MIT-licensed AI phone-agent application stack. A maintained project record would link to the canonical GitHub source and documented setup with explicit provider prerequisites.,https://github.com/allgpt-co/QuickVoice,listing-packages.md,free_project; maintainer_and_verification_required,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D18,OpenSource.to,Open-source alternative directory,Business-software researchers,https://opensource.to/submit-project,https://opensource.to/submit-project,Public form asks for submitter name/email project name proprietary alternative and description. No detailed review policy or guaranteed acceptance displayed.,Actual submitter identity required; use clear provider/deployment disclosures. Not the same directory as OpenSourceAlternative.to.,Please consider QuickVoice as an inspectable MIT-licensed phone-agent stack for teams researching alternatives to a closed hosted platform. Real telephony and AI usage require configured providers.,https://quickvoice.co/open-source,listing-packages.md,no_fee_shown; final_form_terms_recheck,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D19,LiveKit Community,Provider/developer community,Voice-agent developers and implementation partners,https://community.livekit.io/guidelines,https://kb.livekit.io/articles/6878060181-how-to-get-help-with-agents,No unsolicited promotion outside designated channels such as show-and-tell; no unsolicited DMs. Keep technical context clear and exclude credentials/customer data.,Join through official community path and locate a designated showcase channel before posting; main support categories are not promotional targets.,"For an allowed show-and-tell channel: a synthetic QuickVoice workflow built on LiveKit, explaining per-call configuration and verified tool outcomes; request architecture feedback with setup requirements visible.",https://github.com/allgpt-co/QuickVoice,walkthrough-script.md,community_access; designated_channel_required,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D20,selfh.st/apps,Self-hosted software directory,Self-hosting evaluators and technical buyers,https://selfh.st/apps-about/,https://selfh.st/apps-about/,Directory FAQ invites project details through its contact link. Listings expose source/license/activity; no guarantee of inclusion or a stated reply deadline.,Provide repository license setup path and explicit paid-cloud-provider dependencies; avoid implying offline or fully local inference.,Please consider QuickVoice for the apps directory: MIT-licensed phone-agent console API and LiveKit worker with documented local evaluation. Telephony and default model inference still use configured external providers.,https://quickvoice.co/open-source,listing-packages.md,ordinary_contact_request; no_partnership_purchase,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
