program_day,week,action,owner_role,working_asset,prerequisite,completion_evidence,execution_status,actual_date,evidence_url_or_note
12,2,Recheck fixed blog batch 3 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-03.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 3 decisions: review-batch-03.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
13,2,Recheck fixed blog batch 4 from review-queue.csv against completed decisions and fixed scenario batch 2 from review-queue.csv; rehearse walkthrough using synthetic data,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; walkthrough-script.md; review-queue.csv; review-batch-04.md; execution-2026-09-06.md; trust-review-2026-09-06.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,Initial blog batch 4 decisions: review-batch-04.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review. Initial scenario batch 2 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
14,2,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
15,3,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
16,3,Check sources and linked workflow for ai-appointment-scheduling-guide; recheck fixed marketing_route batch 3 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 3 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
17,3,Publish or verify deployed revision of /blog/ai-appointment-scheduling-guide; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
18,3,Prepare/use owned-channel post 03; evaluate distribution opportunities 05-06,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
19,3,Recheck fixed blog batch 5 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-05.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 5 decisions: review-batch-05.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
20,3,Recheck fixed blog batch 6 from review-queue.csv against completed decisions and fixed scenario batch 3 from review-queue.csv; record and review walkthrough only after actual test path works,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; walkthrough-script.md; review-queue.csv; review-batch-06.md; execution-2026-09-06.md; trust-review-2026-09-06.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,Initial blog batch 6 decisions: review-batch-06.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review. Initial scenario batch 3 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
21,3,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
22,4,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
23,4,Check sources and linked workflow for ai-phone-answering-service-small-business; recheck fixed marketing_route batch 4 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 4 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
24,4,Publish or verify deployed revision of /blog/ai-phone-answering-service-small-business; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
25,4,Prepare/use owned-channel post 04; evaluate distribution opportunities 07-08,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
26,4,Recheck fixed blog batch 7 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-07.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 7 decisions: review-batch-07.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
27,4,Recheck fixed blog batch 8 from review-queue.csv against completed decisions and fixed scenario batch 4 from review-queue.csv; review opt-in source and final nurture attachments without sending,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; nurture-drafts.md; review-queue.csv; review-batch-08.md; execution-2026-09-06.md; trust-review-2026-09-06.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,Initial blog batch 8 decisions: review-batch-08.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review. Initial scenario batch 4 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
28,4,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
29,5,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
30,5,Day 30 outcome review: compare complete periods; assess enquiries qualified opportunities reviewed inventory distribution and story blockers,Marketing + analytics + sales lead,README.md; inventory.csv; distribution-opportunities.csv,Comparable date windows and verified event definitions,Dated report with raw counts rates coverage and next-month decisions,scheduled_not_executed,,
31,5,Publish or verify deployed revision of /blog/automated-appointment-reminders-guide; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
32,5,Prepare/use owned-channel post 05; evaluate distribution opportunities 09-10,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
33,5,Recheck fixed blog batch 9 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-09.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 9 decisions: review-batch-09.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
34,5,Recheck fixed blog batch 10 from review-queue.csv against completed decisions and fixed scenario batch 5 from review-queue.csv,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; review-queue.csv; review-batch-10.md; execution-2026-09-06.md; trust-review-2026-09-06.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,Initial blog batch 10 decisions: review-batch-10.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review. Initial scenario batch 5 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
35,5,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
36,6,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
37,6,Check sources and linked workflow for ai-voice-agents-reduce-customer-support-costs; recheck fixed marketing_route batch 5 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 5 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
38,6,Publish or verify deployed revision of /blog/ai-voice-agents-reduce-customer-support-costs; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
39,6,Prepare/use owned-channel post 06; evaluate distribution opportunities 11-12,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
40,6,Recheck fixed blog batch 11 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-11.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 11 decisions: review-batch-11.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
41,6,Recheck fixed blog batch 12 from review-queue.csv against completed decisions and fixed scenario batch 6 from review-queue.csv,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; review-queue.csv; review-batch-12.md; execution-2026-09-06.md; trust-review-2026-09-06.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,Initial blog batch 12 decisions: review-batch-12.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review. Initial scenario batch 6 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
42,6,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
43,7,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
44,7,Check sources and linked workflow for ai-voice-agents-b2b-lead-qualification; recheck fixed marketing_route batch 6 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 6 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
45,7,Publish or verify deployed revision of /blog/ai-voice-agents-b2b-lead-qualification; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
46,7,Prepare/use owned-channel post 07; evaluate distribution opportunities 13-14,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
47,7,Recheck fixed blog batch 13 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-13.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 13 decisions: review-batch-13.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
48,7,Recheck fixed scenario batch 7 from review-queue.csv; reconcile the completed 78-blog decision list; progress a customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,No scenario promoted to proof without real evidence,33 scenario decisions and78 backlog-blog decisions recorded; any evidence request remains unsent unless authorized,scheduled_not_executed,,Initial scenario batch 7 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
49,7,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
50,8,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
51,8,Check sources and linked workflow for ai-voice-agents-property-management; recheck fixed marketing_route batch 7 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 7 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
52,8,Publish or verify deployed revision of /blog/ai-voice-agents-property-management; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
53,8,Prepare/use owned-channel post 08; evaluate distribution opportunities 15-16,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
54,8,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
55,8,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
56,8,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
57,9,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
58,9,Check sources and linked workflow for build-ai-voice-agent-small-business; recheck fixed marketing_route batch 8 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 8 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
59,9,Publish or verify deployed revision of /blog/build-ai-voice-agent-small-business; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
60,9,Day 60 outcome review: compare complete periods; assess enquiries qualified opportunities reviewed inventory distribution and story blockers,Marketing + analytics + sales lead,README.md; inventory.csv; distribution-opportunities.csv,Comparable date windows and verified event definitions,Dated report with raw counts rates coverage and next-month decisions,scheduled_not_executed,,
61,9,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
62,9,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
63,9,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
64,10,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
65,10,Check sources and linked workflow for ai-voice-agent-security-data-privacy; recheck fixed marketing_route batch 6 policy confirmation decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 6 decisions: trust-review-2026-09-06.md. Privacy and terms owner confirmations remain open; this later recheck has not occurred.
66,10,Publish or verify deployed revision of /blog/ai-voice-agent-security-data-privacy; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
67,10,Prepare/use owned-channel post 10; evaluate distribution opportunities 19-20,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
68,10,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
69,10,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
70,10,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
71,11,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
72,11,Check sources and linked workflow for retell-ai-alternatives; recheck campaign destinations /open-source and /pricing plus the new /resources route in inventory.csv,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md; keyword-map.csv; buyer-resources-verification-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial review decisions are recorded in inventory.csv and the linked verification reports. Campaign routes and /resources are outside the fixed 22-route backlog; this later recheck remains scheduled.
73,11,Publish or verify deployed revision of /blog/retell-ai-alternatives; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
74,11,Use owned-channel post 11; follow up only where invited or permitted; record actual distribution outcomes,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
75,11,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
76,11,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
77,11,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
78,12,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
79,12,Check sources and linked workflow for vapi-alternatives; recheck the linked campaign destinations in keyword-map.csv and /resources in inventory.csv,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md; keyword-map.csv; buyer-resources-verification-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial review decisions are recorded in inventory.csv and the linked verification reports. Campaign routes and /resources are outside the fixed 22-route backlog; this later recheck remains scheduled.
80,12,Publish or verify deployed revision of /blog/vapi-alternatives; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
81,12,Use owned-channel post 12; follow up only where invited or permitted; record actual distribution outcomes,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
82,12,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
83,12,Implement a previously approved backlog decision and verify its internal links; progress one customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Updated inventory evidence reference or named evidence blocker,scheduled_not_executed,,
84,12,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
85,13,Reconcile the full inventory: all90 blogs33 scenarios and current marketing routes need an explicit decision,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
86,13,Check all20 distribution statuses against actual submission URLs or documented holds; remove dead opportunities,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
87,13,Review the three story briefs with evidence owner; complete only stories with approved sources and permission,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
88,13,Verify final buyer-resource links cost assumptions and consent-based nurture setup; update stale sources,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
89,13,Prepare Day90 report using complete observation windows; distinguish modelled costs from measured outcomes,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
90,13,Deliver Day90 report: business outcomes technical state content decisions distribution results remaining dependencies and next-quarter priorities,Program owner,All program files,Actual execution evidence,Dated decision/report with unresolved items retained honestly,scheduled_not_executed,,
