asset_type,batch,position,slug,route,source_file,original_publication_date
blog,13,3,how-to-measure-ai-voice-agent-success-kpis,/blog/how-to-measure-ai-voice-agent-success-kpis,apps/web/content/blog/week-49-how-to-measure-ai-voice-agent-success-10-kpis.md,2027-02-01
blog,13,4,50-statistics-ai-customer-service-2026,/blog/50-statistics-ai-customer-service-2026,apps/web/content/blog/week-50-50-statistics-ai-customer-service-2026.md,2027-02-08
blog,13,5,quickvoice-2026-year-in-review-roadmap-2027,/blog/quickvoice-2026-year-in-review-roadmap-2027,apps/web/content/blog/week-51-quickvoice-2026-year-in-review.md,2027-02-15
blog,13,6,ultimate-ai-voice-agent-glossary,/blog/ultimate-ai-voice-agent-glossary,apps/web/content/blog/week-52-ultimate-ai-voice-agent-glossary.md,2027-02-22
scenario,1,1,healthcare-appointment-scheduling-noshow-reduction,/case-studies/healthcare-appointment-scheduling-noshow-reduction,apps/web/content/case-studies/healthcare-appointment-scheduling-noshow-reduction.md,
scenario,1,2,healthcare-patient-collections-compassionate,/case-studies/healthcare-patient-collections-compassionate,apps/web/content/case-studies/healthcare-patient-collections-compassionate.md,
scenario,1,3,healthcare-post-discharge-readmission-reduction,/case-studies/healthcare-post-discharge-readmission-reduction,apps/web/content/case-studies/healthcare-post-discharge-readmission-reduction.md,
scenario,1,4,real-estate-open-house-followup-nurture,/case-studies/real-estate-open-house-followup-nurture,apps/web/content/case-studies/real-estate-open-house-followup-nurture.md,
scenario,1,5,real-estate-property-management-operations,/case-studies/real-estate-property-management-operations,apps/web/content/case-studies/real-estate-property-management-operations.md,
scenario,2,1,automotive-lease-retention-equity-mining,/case-studies/automotive-lease-retention-equity-mining,apps/web/content/case-studies/automotive-lease-retention-equity-mining.md,
scenario,2,2,automotive-sales-lead-response-bdc,/case-studies/automotive-sales-lead-response-bdc,apps/web/content/case-studies/automotive-sales-lead-response-bdc.md,
scenario,2,3,automotive-service-scheduling-noshow-reduction,/case-studies/automotive-service-scheduling-noshow-reduction,apps/web/content/case-studies/automotive-service-scheduling-noshow-reduction.md,
scenario,2,4,ecommerce-post-purchase-review-collection,/case-studies/ecommerce-post-purchase-review-collection,apps/web/content/case-studies/ecommerce-post-purchase-review-collection.md,
scenario,2,5,ecommerce-returns-automation-nps-improvement,/case-studies/ecommerce-returns-automation-nps-improvement,apps/web/content/case-studies/ecommerce-returns-automation-nps-improvement.md,
scenario,3,1,ecommerce-wismo-automation-peak-season,/case-studies/ecommerce-wismo-automation-peak-season,apps/web/content/case-studies/ecommerce-wismo-automation-peak-season.md,
scenario,3,2,education-k12-attendance-emergency-notifications,/case-studies/education-k12-attendance-emergency-notifications,apps/web/content/case-studies/education-k12-attendance-emergency-notifications.md,
scenario,3,3,education-online-student-retention,/case-studies/education-online-student-retention,apps/web/content/case-studies/education-online-student-retention.md,
scenario,3,4,education-university-admissions-financial-aid,/case-studies/education-university-admissions-financial-aid,apps/web/content/case-studies/education-university-admissions-financial-aid.md,
scenario,3,5,financial-services-banking-customer-service,/case-studies/financial-services-banking-customer-service,apps/web/content/case-studies/financial-services-banking-customer-service.md,
scenario,4,1,financial-services-collections-fdcpa-compliant,/case-studies/financial-services-collections-fdcpa-compliant,apps/web/content/case-studies/financial-services-collections-fdcpa-compliant.md,
scenario,4,2,financial-services-insurance-claims-fnol,/case-studies/financial-services-insurance-claims-fnol,apps/web/content/case-studies/financial-services-insurance-claims-fnol.md,
scenario,4,3,hr-employee-benefits-helpdesk,/case-studies/hr-employee-benefits-helpdesk,apps/web/content/case-studies/hr-employee-benefits-helpdesk.md,
scenario,4,4,hr-recruiting-high-volume-phone-screening,/case-studies/hr-recruiting-high-volume-phone-screening,apps/web/content/case-studies/hr-recruiting-high-volume-phone-screening.md,
scenario,4,5,hr-recruiting-seasonal-hiring-campaigns,/case-studies/hr-recruiting-seasonal-hiring-campaigns,apps/web/content/case-studies/hr-recruiting-seasonal-hiring-campaigns.md,
scenario,5,1,logistics-delivery-notifications-exception-management,/case-studies/logistics-delivery-notifications-exception-management,apps/web/content/case-studies/logistics-delivery-notifications-exception-management.md,
scenario,5,2,logistics-freight-broker-carrier-capacity,/case-studies/logistics-freight-broker-carrier-capacity,apps/web/content/case-studies/logistics-freight-broker-carrier-capacity.md,
scenario,5,3,logistics-last-mile-delivery-coordination,/case-studies/logistics-last-mile-delivery-coordination,apps/web/content/case-studies/logistics-last-mile-delivery-coordination.md,
scenario,5,4,manufacturing-preventive-maintenance-scheduling,/case-studies/manufacturing-preventive-maintenance-scheduling,apps/web/content/case-studies/manufacturing-preventive-maintenance-scheduling.md,
scenario,5,5,manufacturing-shift-coordination-workforce,/case-studies/manufacturing-shift-coordination-workforce,apps/web/content/case-studies/manufacturing-shift-coordination-workforce.md,
scenario,6,1,manufacturing-supplier-po-confirmation,/case-studies/manufacturing-supplier-po-confirmation,apps/web/content/case-studies/manufacturing-supplier-po-confirmation.md,
scenario,6,2,real-estate-instant-lead-followup-showings,/case-studies/real-estate-instant-lead-followup-showings,apps/web/content/case-studies/real-estate-instant-lead-followup-showings.md,
scenario,6,3,saas-churn-prevention-nps-surveys,/case-studies/saas-churn-prevention-nps-surveys,apps/web/content/case-studies/saas-churn-prevention-nps-surveys.md,
scenario,6,4,saas-customer-onboarding-activation,/case-studies/saas-customer-onboarding-activation,apps/web/content/case-studies/saas-customer-onboarding-activation.md,
scenario,6,5,saas-renewal-upsell-expansion,/case-studies/saas-renewal-upsell-expansion,apps/web/content/case-studies/saas-renewal-upsell-expansion.md,
scenario,7,1,travel-airline-disruption-rebooking,/case-studies/travel-airline-disruption-rebooking,apps/web/content/case-studies/travel-airline-disruption-rebooking.md,
scenario,7,2,travel-hotel-post-stay-survey-loyalty,/case-studies/travel-hotel-post-stay-survey-loyalty,apps/web/content/case-studies/travel-hotel-post-stay-survey-loyalty.md,
scenario,7,3,travel-hotel-reservations-upsell,/case-studies/travel-hotel-reservations-upsell,apps/web/content/case-studies/travel-hotel-reservations-upsell.md,
marketing_route,1,1,,/industries/hr-recruiting,apps/web/src/app/industries/hr-recruiting/page.tsx,
marketing_route,1,2,,/industries/saas,apps/web/src/app/industries/saas/page.tsx,
marketing_route,1,3,,/industries/automotive,apps/web/src/app/industries/automotive/page.tsx,
marketing_route,2,1,,/case-studies,apps/web/src/app/case-studies/page.tsx,
marketing_route,2,2,,/company/about-us,apps/web/src/app/company/about-us/page.tsx,
marketing_route,2,3,,/company/careers,apps/web/src/app/company/careers/page.tsx,
marketing_route,3,1,,/compliance/hipaa,apps/web/src/app/compliance/hipaa/page.tsx,
marketing_route,3,2,,/industries/e-commerce,apps/web/src/app/industries/e-commerce/page.tsx,
marketing_route,3,3,,/industries/education,apps/web/src/app/industries/education/page.tsx,
marketing_route,4,1,,/industries/financial-services,apps/web/src/app/industries/financial-services/page.tsx,
marketing_route,4,2,,/industries/healthcare,apps/web/src/app/industries/healthcare/page.tsx,
marketing_route,4,3,,/industries/logistics,apps/web/src/app/industries/logistics/page.tsx,
marketing_route,5,1,,/industries/manufacturing-engineering,apps/web/src/app/industries/manufacturing-engineering/page.tsx,
marketing_route,5,2,,/industries,apps/web/src/app/industries/page.tsx,
marketing_route,5,3,,/industries/travel-hospitality,apps/web/src/app/industries/travel-hospitality/page.tsx,
marketing_route,6,1,,/privacy-policy,apps/web/src/app/privacy-policy/page.tsx,
marketing_route,6,2,,/solutions,apps/web/src/app/solutions/page.tsx,
marketing_route,6,3,,/terms-of-service,apps/web/src/app/terms-of-service/page.tsx,
marketing_route,7,1,,/use-cases/operations-automation,apps/web/src/app/use-cases/operations-automation/page.tsx,
marketing_route,7,2,,/use-cases/order-status-returns,apps/web/src/app/use-cases/order-status-returns/page.tsx,
marketing_route,7,3,,/use-cases,apps/web/src/app/use-cases/page.tsx,
marketing_route,8,1,,/use-cases/reminders-collections,apps/web/src/app/use-cases/reminders-collections/page.tsx,
